;pais;Imunizados;media_vacinacao;vacina_utilizada
0;United States;70454064.0;961578.3382352941;['Moderna, Pfizer/BioNTech']
1;China;40520000.0;623616.0;['Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac']
2;United Kingdom;19913592.0;255473.25675675675;['Oxford/AstraZeneca, Pfizer/BioNTech']
3;England;16785841.0;215682.0810810811;['Oxford/AstraZeneca, Pfizer/BioNTech']
4;India;13756940.0;298508.4761904762;['Covaxin, Oxford/AstraZeneca']
5;Turkey;8298805.0;182702.86363636365;['Sinovac']
6;Brazil;8101787.0;180061.24390243902;['Oxford/AstraZeneca, Sinovac']
7;Israel;7957787.0;111752.13043478261;['Moderna, Pfizer/BioNTech']
8;United Arab Emirates;5933299.0;95846.90384615384;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V']
9;Germany;5910537.0;90158.77049180328;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
10;France;4298573.0;65085.48333333333;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
11;Italy;4074575.0;61521.24590163935;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
12;Russia;3900000.0;62646.43859649123;['Sputnik V']
13;Spain;3605635.0;63318.75;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
14;Morocco;3424295.0;102301.13793103448;['Oxford/AstraZeneca, Sinopharm/Beijing']
15;Chile;3345027.0;49403.5873015873;['Pfizer/BioNTech, Sinovac']
16;Poland;3269812.0;49188.8;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
17;Bangladesh;2850940.0;78974.43333333333;['Oxford/AstraZeneca']
18;Indonesia;2449451.0;48458.11111111111;['Sinovac']
19;Mexico;2271032.0;29362.953125;['Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V']
20;Canada;1778405.0;29900.755555555555;['Moderna, Pfizer/BioNTech']
21;Scotland;1608269.0;20491.18918918919;['Oxford/AstraZeneca, Pfizer/BioNTech']
22;Romania;1506033.0;23954.716666666667;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
23;Serbia;1393086.0;26487.530612244896;['Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
24;Wales;982396.0;12503.824324324325;['Oxford/AstraZeneca, Pfizer/BioNTech']
25;Netherlands;915793.0;17083.64;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
26;Argentina;903915.0;13728.0;['Sputnik V']
27;Greece;857306.0;12788.983333333334;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
28;Hungary;808008.0;11773.95;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
29;Portugal;797005.0;11868.098360655738;['Moderna, Pfizer/BioNTech']
30;Belgium;757229.0;12226.06779661017;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
31;Switzerland;748791.0;16479.032258064515;['Moderna, Pfizer/BioNTech']
32;Sweden;720631.0;10748.27868852459;['Oxford/AstraZeneca, Pfizer/BioNTech']
33;Czechia;644321.0;9774.606557377048;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
34;Saudi Arabia;639587.0;10986.039215686274;['Pfizer/BioNTech']
35;Austria;620919.0;12076.227272727272;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
36;Denmark;556878.0;8709.116666666667;['Moderna, Pfizer/BioNTech']
37;Northern Ireland;537086.0;6796.121621621622;['Oxford/AstraZeneca, Pfizer/BioNTech']
38;Norway;468344.0;6887.633333333333;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
39;Slovakia;433998.0;7679.679245283019;['Pfizer/BioNTech']
40;Finland;426806.0;6651.0526315789475;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
41;Sri Lanka;406633.0;14155.142857142857;['Oxford/AstraZeneca']
42;Nepal;402264.0;16525.64;['Oxford/AstraZeneca']
43;Ireland;373280.0;6393.074074074074;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
44;Singapore;360000.0;8674.473684210527;['Pfizer/BioNTech']
45;Bahrain;292917.0;4031.230769230769;['Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
46;Lithuania;234959.0;2601.1125;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
47;Peru;233730.0;15872.5625;['Sinopharm/Beijing']
48;Bulgaria;204439.0;2637.898305084746;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
49;Croatia;194267.0;2882.2982456140353;['Pfizer/BioNTech']
50;Kuwait;175000.0;3160.612244897959;['Pfizer/BioNTech']
51;Slovenia;171605.0;2481.6721311475408;['Oxford/AstraZeneca, Pfizer/BioNTech']
52;Qatar;140000.0;2261.8793103448274;['Pfizer/BioNTech']
53;Myanmar;103142.0;11831.857142857143;['Oxford/AstraZeneca']
54;Costa Rica;101183.0;1667.2666666666667;['Pfizer/BioNTech']
55;Maldives;99419.0;3674.375;['Oxford/AstraZeneca']
56;Estonia;96980.0;1546.9830508474577;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
57;Panama;89419.0;1924.5;['Pfizer/BioNTech']
58;Colombia;81333.0;6582.3;['Pfizer/BioNTech']
59;Seychelles;75096.0;1499.7659574468084;['Oxford/AstraZeneca, Sinopharm/Beijing']
60;Algeria;75000.0;3289.0476190476193;['Sputnik V']
61;Malta;73644.0;1518.051282051282;['Pfizer/BioNTech']
62;Pakistan;72882.0;3610.842105263158;['Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V']
63;Oman;67660.0;1154.6491228070176;['Oxford/AstraZeneca, Pfizer/BioNTech']
64;Azerbaijan;65000.0;3250.0;['Oxford/AstraZeneca, Sputnik V']
65;South Africa;63648.0;3974.6;['Johnson&Johnson']
66;Latvia;60732.0;897.7435897435897;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
67;Cyprus;56791.0;1093.6;['Pfizer/BioNTech']
68;Luxembourg;36071.0;551.2631578947369;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
69;Gibraltar;34600.0;743.6086956521739;['Pfizer/BioNTech']
70;Iceland;32157.0;417.7586206896552;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
71;Jersey;29312.0;641.5;['Oxford/AstraZeneca, Pfizer/BioNTech']
72;Barbados;29283.0;2277.0;['Oxford/AstraZeneca']
73;Japan;28530.0;2387.3333333333335;['Pfizer/BioNTech']
74;Dominican Republic;26400.0;2191.5555555555557;['Oxford/AstraZeneca']
75;Lebanon;24637.0;1841.1538461538462;['Pfizer/BioNTech']
76;Ecuador;24492.0;543.6764705882352;['Pfizer/BioNTech']
77;Australia;23504.0;1426.8;['Pfizer/BioNTech']
78;Kazakhstan;22294.0;1008.375;['Sputnik V']
79;Cayman Islands;21106.0;329.6885245901639;['Pfizer/BioNTech']
80;Belarus;20944.0;403.0;['Sputnik V']
81;Guernsey;20047.0;497.56666666666666;['Pfizer/BioNTech']
82;Isle of Man;19884.0;420.0;['Oxford/AstraZeneca, Pfizer/BioNTech']
83;South Korea;18489.0;18489.0;['Sputnik V']
84;Bermuda;17073.0;377.4418604651163;['Pfizer/BioNTech']
85;Cambodia;13101.0;656.875;['Sinopharm/Beijing']
86;Zimbabwe;12579.0;844.25;['Sinopharm/Beijing']
87;Senegal;11749.0;2014.0;['Sinopharm/Beijing']
88;Northern Cyprus;11000.0;1105.75;['Pfizer/BioNTech, Sinovac']
89;Bolivia;10167.0;568.8571428571429;['Sputnik V']
90;Albania;10135.0;179.1;['Pfizer/BioNTech']
91;Iran;10000.0;1487.2222222222222;['Sputnik V']
92;Faeroe Islands;6713.0;84.0;['Pfizer/BioNTech']
93;Turks and Caicos Islands;6433.0;222.0;['Pfizer/BioNTech']
94;El Salvador;6000.0;1200.0;['Oxford/AstraZeneca']
95;Mauritius;3843.0;141.34782608695653;['Oxford/AstraZeneca']
96;Ukraine;3051.0;1312.5;['Oxford/AstraZeneca']
97;Anguilla;2762.0;167.2;['Oxford/AstraZeneca']
98;Greenland;2584.0;;['Pfizer/BioNTech']
99;Monaco;2400.0;126.0;['Pfizer/BioNTech']
100;Andorra;2390.0;62.0;['Pfizer/BioNTech']
101;Liechtenstein;2218.0;52.61904761904762;['Moderna, Pfizer/BioNTech']
102;Macao;2000.0;269.9;['Sinopharm/Beijing']
103;Guyana;1852.0;167.8181818181818;['Oxford/AstraZeneca']
104;Falkland Islands;1515.0;189.0;['Oxford/AstraZeneca']
105;Egypt;1315.0;219.0;['Sinopharm/Beijing']
106;Montenegro;1113.0;186.0;['Sputnik V']
107;Paraguay;1000.0;250.0;['Sputnik V']
108;New Zealand;1000.0;108.0;['Pfizer/BioNTech']
109;Trinidad and Tobago;440.0;63.0;['Oxford/AstraZeneca']
110;Venezuela;157.0;31.0;['Sputnik V']
111;Saint Helena;107.0;;['Oxford/AstraZeneca']
